participant, experiment, tstart, timebin, playlist, valid, annotator1, annotator2
Codes for participants: 1: Ayse 2: Buse 3: Esra 4: Gokhan 5: Merve,,,,,,,
Codes for experiments: 1: slide show 2: game (wisconsin card sorting) 3: video book,,,,,,,
Tstart is in min from the beginning of the webcam video,,,,,,,
Codes for time bin in analysis: 1: 5 10 2: 25 30 40 3: 50 60 70 4: 80 85 90 5: 100 105 110,,,,,,,
Codes for video validity: 1: valid 0: invalid (talking eating etc),,,,,,,
Codes for annotators: Annotator1: Ayse Annotator2: Gokhan,,,,,,,
,,,,,,,
5,3,25,2,1,1,4,5
5,2,90,4,1,1,3,3
2,1,30,2,1,1,5,5
2,3,105,5,1,1,2,2
4,2,25,2,1,1,1,1
2,2,30,2,1,1,4,4
5,1,50,3,1,1,5,3
2,3,10,1,1,1,3,1
1,3,15,1,1,1,3,2
1,3,90,4,1,1,3,2
2,1,5,1,1,1,5,5
1,1,100,5,1,1,2,2
4,1,5,1,1,1,2,3
3,1,50,3,1,1,4,3
3,2,40,2,1,1,2,2
2,1,105,5,1,1,5,5
2,1,25,2,1,1,4,3
1,3,30,2,1,1,1,2
4,3,105,5,1,1,1,3
1,3,110,5,2,1,3,4
3,2,100,5,2,1,3,3
3,1,30,2,2,1,5,5
5,3,100,5,2,1,4,4
4,2,50,3,2,1,1,1
3,2,50,3,2,1,2,2
5,2,110,5,2,1,3,3
4,1,10,1,2,1,3,3
4,2,80,4,2,1,1,2
1,2,80,4,2,1,2,3
2,1,10,1,2,1,5,4
2,2,40,2,2,1,4,2
5,3,105,5,2,1,1,2
5,3,110,5,2,1,3,4
4,2,70,3,2,1,1,2
2,3,60,3,2,1,3,3
2,2,105,5,2,1,4,4
4,1,80,4,2,1,5,4
1,2,25,2,2,1,2,2
2,1,100,5,3,1,5,5
4,2,110,5,3,1,1,3
4,3,100,5,3,1,2,4
3,3,110,5,3,1,2,3
3,2,15,1,3,1,1,1
5,2,30,2,3,1,1,3
3,3,80,4,3,1,1,3
3,1,100,5,3,1,5,4
4,2,105,5,3,1,1,3
1,1,60,3,3,1,1,2
1,3,50,3,3,1,2,3
4,2,60,3,3,1,1,3
2,3,100,5,3,1,3,4
2,2,80,4,3,1,3,3
3,1,60,3,3,1,3,3
2,1,80,4,3,1,4,4
3,2,105,5,3,1,2,3
3,1,85,4,3,1,5,5
3,3,60,3,3,1,2,3
2,3,110,5,4,1,3,3
3,1,25,2,4,1,5,4
3,1,40,2,4,1,5,3
4,1,110,5,4,1,4,4
4,2,90,4,4,1,1,2
5,3,5,1,4,1,1,2
5,2,100,5,4,1,1,3
2,1,60,3,4,1,5,5
3,2,10,1,4,1,1,2
5,1,10,1,4,1,3,4
5,1,60,3,4,1,5,5
1,2,105,5,4,1,3,2
1,2,70,3,4,1,3,2
5,1,5,1,4,0,4,3
2,3,25,2,4,1,4,2
2,1,85,4,4,1,5,4
2,3,5,1,4,0,3,5
5,2,5,1,4,1,1,1
5,3,85,4,4,1,3,5
4,1,15,1,5,1,3,4
5,3,80,4,5,1,3,5
3,2,60,3,5,1,3,1
2,1,40,2,5,1,5,4
1,1,15,1,5,1,3,2
1,2,10,1,5,1,1,1
5,2,15,1,5,1,2,2
3,2,25,2,5,1,2,2
4,1,100,5,5,1,4,5
1,2,110,5,5,1,3,2
3,1,105,5,5,1,3,3
3,2,110,5,5,0,2,3
2,2,110,5,5,1,1,2
1,3,85,4,5,1,4,4
1,3,70,3,5,1,4,4
3,3,50,3,5,1,2,3
5,2,40,2,5,1,1,3
3,1,70,3,5,1,5,5
2,1,110,5,5,1,5,5
4,2,5,1,6,1,1,1
4,1,50,3,6,1,5,5
5,3,15,1,6,1,3,3
5,3,30,2,6,0,2,3
5,1,90,4,6,0,1,3
1,3,25,2,6,1,3,3
4,3,85,4,6,1,1,3
2,2,25,2,6,1,4,4
1,3,10,1,6,1,3,3
2,3,85,4,6,1,4,3
1,2,50,3,6,1,4,2
3,3,30,2,6,1,4,2
1,2,30,2,6,1,4,2
5,1,105,5,6,0,4,0
4,3,5,1,6,1,3,4
1,2,15,1,6,1,4,2
1,1,90,4,6,1,4,4
1,3,40,2,6,1,3,3
2,3,15,1,6,1,1,3
5,1,70,3,7,1,4,5
3,1,10,1,7,1,5,5
5,3,90,4,7,1,3,3
1,1,5,1,7,1,3,2
2,1,15,1,7,1,5,5
4,1,85,4,7,1,3,4
1,1,80,4,7,1,2,2
3,3,15,1,7,1,2,2
4,2,30,2,7,1,1,1
1,1,110,5,7,1,3,2
5,3,40,2,7,1,2,3
3,3,25,2,7,1,3,3
3,1,5,1,7,1,5,4
1,1,10,1,7,1,2,2
1,1,30,2,7,1,1,2
1,1,105,5,7,1,3,4
5,2,25,2,7,1,1,2
4,3,70,3,7,1,1,3
2,2,50,3,7,1,2,4
2,2,15,1,8,1,2,2
2,2,100,5,8,1,3,3
1,2,100,5,8,1,2,2
3,1,80,4,8,1,3,3
1,1,70,3,8,1,1,2
5,2,50,3,8,1,1,4
2,3,90,4,8,1,3,4
1,1,50,3,8,1,1,2
4,1,30,2,8,1,5,5
2,2,10,1,8,1,1,3
4,3,80,4,8,1,2,3
4,2,10,1,8,1,1,1
5,3,50,3,8,1,4,3
4,3,40,2,8,1,2,3
1,2,40,2,8,1,1,2
2,2,90,4,8,1,3,2
1,1,85,4,8,1,2,3
2,3,70,3,8,1,2,3
4,3,15,1,8,1,2,4
5,1,80,4,9,1,5,5
4,3,50,3,9,1,2,2
5,3,10,1,9,1,1,2
5,2,85,4,9,1,2,3
3,2,90,4,9,1,4,3
4,3,30,2,9,1,3,3
2,2,85,4,9,1,3,2
3,2,80,4,9,1,4,2
4,1,105,5,9,1,5,5
5,1,100,5,9,0,0,0
2,2,60,3,9,1,4,2
1,3,105,5,9,1,3,3
1,3,60,3,9,1,2,2
1,2,90,4,9,1,5,4
1,3,80,4,9,1,3,3
4,2,100,5,9,1,2,3
1,2,85,4,9,1,2,3
5,2,10,1,9,1,2,2
4,1,60,3,9,1,4,5
4,3,60,3,10,1,1,3
5,1,15,1,10,1,4,5
4,2,85,4,10,1,1,2
1,3,100,5,10,1,1,3
4,1,40,2,10,1,4,5
5,2,105,5,10,0,1,3
5,1,25,2,10,1,5,5
4,2,15,1,10,1,1,1
1,3,5,1,10,1,1,2
1,2,5,1,10,1,1,1
4,1,70,3,10,1,5,4
3,3,10,1,10,1,1,2
1,2,60,3,10,1,2,2
3,1,110,5,10,1,3,2
2,3,40,2,10,1,2,3
4,1,25,2,10,1,5,4
3,3,85,4,10,1,1,2
3,2,5,1,10,0,1,3
3,2,70,3,10,1,2,3
5,1,110,5,11,0,0,0
2,3,80,4,11,1,2,3
3,3,70,3,11,1,1,2
2,1,90,4,11,1,5,5
3,3,5,1,11,1,1,2
4,3,110,5,11,1,1,3
3,3,40,2,11,1,1,3
4,3,90,4,11,1,2,3
4,2,40,2,11,1,1,2
5,2,60,3,11,1,1,2
3,1,90,4,11,1,3,3
2,3,30,2,11,1,2,3
5,3,60,3,11,1,3,4
4,3,25,2,11,1,2,4
5,2,80,4,11,1,2,2
3,3,105,5,11,1,2,3
2,2,5,1,11,1,2,3
4,3,10,1,11,1,2,3
5,2,70,3,11,1,2,3
3,2,85,4,12,1,4,3
3,3,90,4,12,1,1,2
5,1,40,2,12,1,4,5
3,1,15,1,12,1,5,5
2,1,50,3,12,1,5,5
4,1,90,4,12,1,2,4
5,3,70,3,12,1,3,4
2,2,70,3,12,1,3,3
3,2,30,2,12,1,2,2
1,1,40,2,12,1,1,3
2,1,70,3,12,1,4,5
2,3,50,3,12,1,2,2
3,3,100,5,12,1,2,3
5,1,85,4,12,1,4,5
1,1,25,2,12,1,1,3
5,1,30,2,12,1,3,4
